URL,DIRECCION,PRECIO,HABITACIONES,TAMANO,OTROS,TELEFONOhttps://www.idealista.com//inmueble/89132242/,"Estudio en paseo de la Chopera, 45, Chopera, Madrid",600€/mes,20 m²,2ª planta exterior sin ascensor,1 hora,675914849
https://www.idealista.com//inmueble/88974087/,"Piso en pizarro, 8, Malasaña-Universidad, Madrid",980€/mes,1 hab.,40 m²,1ª planta exterior sin ascensor,912186076
https://www.idealista.com//inmueble/89132576/,"Piso en calle de Hilarión Eslava, Gaztambide, Madrid",2600€/mes,4 hab.,136 m²,3ª planta exterior con ascensor,747850162
https://www.idealista.com//inmueble/88714172/,"Estudio en calle Bolivia, Nueva España, Madrid",750€/mes,40 m²,4ª planta exterior con ascensor,,912180951
https://www.idealista.com//inmueble/85992104/,"Piso en Monte Esquinza, 9, Almagro, Madrid",1400€/mes,2 hab.,75 m²,1ª planta interior con ascensor,912187682
https://www.idealista.com//inmueble/88758316/,"Estudio en calle de la Villa, 4, Palacio, Madrid",950€/mes,45 m²,2ª planta exterior con ascensor,,912180951
https://www.idealista.com//inmueble/89132438/,"Piso en calle del Castillo de Simancas, Simancas, Madrid",730€/mes,2 hab.,50 m², exterior con ascensor,902375777
https://www.idealista.com//inmueble/88809994/,"Piso en calle de Marcelino Álvarez, Ventas, Madrid",920€/mes,2 hab.,65 m²,2ª planta exterior sin ascensor,912180951
https://www.idealista.com//inmueble/88399021/,"Chalet pareado en Conde Orgaz-Piovera, Madrid",5600€/mes,5 hab.,450 m²,3 horas,911221987
https://www.idealista.com//inmueble/88904724/,"Piso en calle de Carlos Arniches, Lavapiés-Embajadores, Madrid",1350€/mes,3 hab.,60 m²,2ª planta exterior sin ascensor,912180951
https://www.idealista.com//inmueble/89132280/,"Chalet pareado en avenida de los Madroños, Conde Orgaz-Piovera, Madrid",5600€/mes,5 hab.,450 m²,3 horas,911221987
https://www.idealista.com//inmueble/88911079/,"Piso en calle Alcatraz, Opañel, Madrid",950€/mes,1 hab.,100 m²,Bajo exterior sin ascensor,912180951
https://www.idealista.com//inmueble/89132291/,"Piso en calle de Castelló, Castellana, Madrid",1850€/mes,2 hab.,120 m²,8ª planta exterior con ascensor,639349852
https://www.idealista.com//inmueble/88911397/,"Piso en Alcatraz, Opañel, Madrid",950€/mes,1 hab.,100 m²,Bajo exterior sin ascensor,912180951
https://www.idealista.com//inmueble/40554720/,"Piso en calle de la Escalinata, 15, Palacio, Madrid",900€/mes,1 hab.,40 m²,1ª planta interior sin ascensor,630371455
https://www.idealista.com//inmueble/88959599/,"Piso en Falcinero, Puerta Bonita, Madrid",888€/mes,1 hab.,65 m²,Bajo exterior sin ascensor,912180951
https://www.idealista.com//inmueble/35998635/,"Casa o chalet independiente en calle de la Isla de Zanzíbar, 30, Peñagrande, Madrid",800€/mes,2 hab.,60 m²,4 horas,653944719
https://www.idealista.com//inmueble/88960361/,"Piso en calle Soldado José María Rey, San Isidro, Madrid",1400€/mes,2 hab.,180 m²,Bajo exterior sin ascensor,912180951
